id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,form pressure,41,45,23,86,266,ship,baseline,monotonic-signal
g002,sync drift,42,66,16,105,364,ship,edge,drag-penalty
g003,local state,46,9,35,79,176,watch,recovery,confidence-floor
g004,conflict cost,96,53,25,24,360,ship,negative,lane-boundary
g005,form pressure,80,8,22,44,306,ship,baseline,monotonic-signal
g006,sync drift,32,58,43,102,175,watch,edge,drag-penalty
g007,local state,99,15,34,92,425,ship,recovery,confidence-floor
g008,conflict cost,48,66,31,92,287,ship,negative,lane-boundary
g009,form pressure,114,59,10,53,571,ship,baseline,monotonic-signal
g010,sync drift,107,23,43,38,312,ship,edge,drag-penalty
g011,local state,107,8,19,78,497,ship,recovery,confidence-floor
g012,conflict cost,66,73,29,103,398,ship,negative,lane-boundary
g013,form pressure,93,38,17,77,479,ship,baseline,monotonic-signal
g014,sync drift,66,23,10,68,373,ship,edge,drag-penalty
g015,local state,56,18,8,25,252,ship,recovery,confidence-floor
g016,conflict cost,55,53,30,94,311,ship,negative,lane-boundary
g017,form pressure,102,73,42,90,451,ship,baseline,monotonic-signal
g018,sync drift,85,15,8,93,501,ship,edge,drag-penalty
g019,local state,36,59,13,56,250,ship,recovery,confidence-floor
g020,conflict cost,103,48,38,85,440,ship,negative,lane-boundary
g021,form pressure,52,10,10,104,376,ship,baseline,monotonic-signal
g022,sync drift,30,29,19,78,210,ship,edge,drag-penalty
g023,local state,110,76,25,23,437,ship,recovery,confidence-floor
g024,conflict cost,66,32,8,43,342,ship,negative,lane-boundary
g025,form pressure,47,63,43,101,238,ship,baseline,monotonic-signal
g026,sync drift,85,30,20,91,452,ship,edge,drag-penalty
g027,local state,64,16,10,91,404,ship,recovery,confidence-floor
g028,conflict cost,57,12,7,52,309,ship,negative,lane-boundary
g029,form pressure,57,12,28,37,174,watch,baseline,monotonic-signal
g030,sync drift,60,50,19,77,349,ship,edge,drag-penalty
g031,local state,109,71,16,102,631,ship,recovery,confidence-floor
g032,conflict cost,82,14,37,76,309,ship,negative,lane-boundary
g033,form pressure,83,58,28,67,384,ship,baseline,monotonic-signal
g034,sync drift,87,13,4,24,389,ship,edge,drag-penalty
g035,local state,49,63,14,93,375,ship,recovery,confidence-floor
g036,conflict cost,33,20,44,89,110,watch,negative,lane-boundary
g037,form pressure,73,71,37,92,362,ship,baseline,monotonic-signal
g038,sync drift,52,64,35,55,207,ship,edge,drag-penalty
g039,local state,89,28,15,84,477,ship,recovery,confidence-floor
g040,conflict cost,67,13,27,103,352,ship,negative,lane-boundary
g041,form pressure,60,8,35,77,227,ship,baseline,monotonic-signal
g042,sync drift,60,43,40,22,127,watch,edge,drag-penalty
g043,local state,107,28,23,42,425,ship,recovery,confidence-floor
g044,conflict cost,46,23,37,100,222,ship,negative,lane-boundary
g045,form pressure,107,58,4,90,646,ship,baseline,monotonic-signal
g046,sync drift,97,8,10,90,526,ship,edge,drag-penalty
g047,local state,96,20,35,51,331,ship,recovery,confidence-floor
